,PLAYER_ID,PLAYER_NAME,PLAYER_AGE_r,PLAYER_AGE_s,GP_r,GP_s,GS_r,GS_s,MIN_r,MIN_s,FGM_r,FGM_s,FGA_r,FGA_s,FG_PCT_r,FG_PCT_s,FG3M_r,FG3M_s,FG3A_r,FG3A_s,FG3_PCT_r,FG3_PCT_s,FTM_r,FTM_s,FTA_r,FTA_s,FT_PCT_r,FT_PCT_s,OREB_r,OREB_s,DREB_r,DREB_s,REB_r,REB_s,AST_r,AST_s,STL_r,STL_s,BLK_r,BLK_s,TOV_r,TOV_s,PF_r,PF_s,PTS_r,PTS_s
0,1630173,Precious Achiuwa,21.0,22.0,61,73,4,28,12.081967213114755,23.63013698630137,2.0327868852459017,3.6301369863013697,3.737704918032787,8.26027397260274,0.544,0.439,0.0,0.7671232876712328,0.01639344262295082,2.136986301369863,0.0,0.359,0.9180327868852459,1.0684931506849316,1.8032786885245902,1.7945205479452055,0.509,0.595,1.1967213114754098,2.0,2.2131147540983607,4.47945205479452,3.4098360655737703,6.47945205479452,0.47540983606557374,1.1232876712328768,0.32786885245901637,0.5068493150684932,0.45901639344262296,0.5616438356164384,0.7049180327868853,1.1506849315068493,1.4918032786885247,2.0684931506849313,4.983606557377049,9.095890410958905
1,203500,Steven Adams,20.0,21.0,81,70,20,67,14.777777777777779,25.3,1.1481481481481481,3.1,2.2839506172839505,5.7,0.503,0.544,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.9753086419753086,1.4714285714285715,1.6790123456790123,2.9285714285714284,0.581,0.502,1.7530864197530864,2.842857142857143,2.345679012345679,4.628571428571429,4.098765432098766,7.4714285714285715,0.5308641975308642,0.9428571428571428,0.49382716049382713,0.5428571428571428,0.7037037037037037,1.2285714285714286,0.8765432098765432,1.4142857142857144,2.506172839506173,3.1714285714285713,3.271604938271605,7.671428571428572
2,1628389,Bam Adebayo,20.0,21.0,69,82,19,28,19.82608695652174,23.329268292682926,2.5217391304347827,3.4146341463414633,4.927536231884058,5.926829268292683,0.512,0.576,0.0,0.036585365853658534,0.10144927536231885,0.18292682926829268,0.0,0.2,1.8695652173913044,2.024390243902439,2.5942028985507246,2.7560975609756095,0.721,0.735,1.710144927536232,2.0121951219512195,3.8115942028985508,5.2682926829268295,5.521739130434782,7.280487804878049,1.463768115942029,2.2439024390243905,0.463768115942029,0.8658536585365854,0.5942028985507246,0.7926829268292683,0.9565217391304348,1.475609756097561,2.0,2.475609756097561,6.913043478260869,8.890243902439025
3,1630534,Ochai Agbaji,23.0,24.0,59,51,22,10,20.491525423728813,19.666666666666668,2.7966101694915255,2.0784313725490198,6.5423728813559325,4.882352941176471,0.427,0.426,1.3728813559322033,0.9215686274509803,3.864406779661017,2.784313725490196,0.355,0.331,0.9491525423728814,0.29411764705882354,1.1694915254237288,0.39215686274509803,0.812,0.75,0.7288135593220338,0.6862745098039216,1.3220338983050848,1.7843137254901962,2.0508474576271185,2.4705882352941178,1.1355932203389831,0.9215686274509803,0.2711864406779661,0.5294117647058824,0.2542372881355932,0.5686274509803921,0.6949152542372882,0.6666666666666666,1.6779661016949152,1.2941176470588236,7.915254237288136,5.372549019607843
4,1630583,Santi Aldama,21.0,22.0,32,77,0,20,11.25,21.844155844155843,1.65625,3.207792207792208,4.125,6.818181818181818,0.402,0.47,0.1875,1.2207792207792207,1.5,3.4545454545454546,0.125,0.353,0.625,1.4025974025974026,1.0,1.87012987012987,0.625,0.75,1.03125,1.103896103896104,1.6875,3.7142857142857144,2.71875,4.818181818181818,0.65625,1.2597402597402598,0.1875,0.5844155844155844,0.3125,0.6233766233766234,0.5,0.7792207792207793,1.125,1.8571428571428572,4.125,9.03896103896104
5,1641725,Trey Alexander,22.0,22.0,24,5,0,0,4.875,8.4,0.5416666666666666,1.2,1.7083333333333333,1.8,0.317,0.667,0.125,0.4,0.7083333333333334,0.6,0.176,0.667,0.125,0.0,0.16666666666666666,0.0,0.75,0.0,0.041666666666666664,0.0,0.4583333333333333,0.8,0.5,0.8,0.4583333333333333,1.0,0.08333333333333333,0.2,0.041666666666666664,0.2,0.20833333333333334,0.2,0.4166666666666667,0.8,1.3333333333333333,2.8
6,1629638,Nickeil Alexander-Walker,21.0,22.0,47,46,1,13,12.574468085106384,21.891304347826086,2.0851063829787235,4.173913043478261,5.659574468085107,9.956521739130435,0.368,0.419,0.9787234042553191,1.6521739130434783,2.8297872340425534,4.760869565217392,0.346,0.347,0.5319148936170213,1.0434782608695652,0.7872340425531915,1.434782608695652,0.676,0.727,0.19148936170212766,0.2826086956521739,1.5957446808510638,2.847826086956522,1.7872340425531914,3.130434782608696,1.8936170212765957,2.217391304347826,0.3617021276595745,1.0217391304347827,0.1702127659574468,0.4782608695652174,1.148936170212766,1.5,1.2127659574468086,1.9130434782608696,5.680851063829787,11.043478260869565
7,1628960,Grayson Allen,23.0,24.0,38,38,2,0,10.947368421052632,18.894736842105264,1.763157894736842,3.0789473684210527,4.684210526315789,6.605263157894737,0.376,0.466,0.8421052631578947,1.5,2.6052631578947367,3.710526315789474,0.323,0.404,1.1842105263157894,1.0263157894736843,1.5789473684210527,1.1842105263157894,0.75,0.867,0.07894736842105263,0.21052631578947367,0.5263157894736842,2.026315789473684,0.6052631578947368,2.236842105263158,0.6578947368421053,1.368421052631579,0.15789473684210525,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.868421052631579,0.868421052631579,1.236842105263158,1.394736842105263,5.552631578947368,8.68421052631579
8,1628386,Jarrett Allen,20.0,21.0,72,80,31,80,20.01388888888889,26.2,3.25,4.1875,5.513888888888889,7.1,0.589,0.59,0.06944444444444445,0.075,0.20833333333333334,0.5625,0.333,0.133,1.5833333333333333,2.4625,2.0416666666666665,3.475,0.776,0.709,2.0,2.3875,3.388888888888889,6.0125,5.388888888888889,8.4,0.6805555555555556,1.375,0.3888888888888889,0.5375,1.2222222222222223,1.5,1.1388888888888888,1.2875,2.0416666666666665,2.3,8.152777777777779,10.9125
9,1630631,Jose Alvarado,24.0,25.0,54,61,1,10,15.444444444444445,21.475409836065573,2.425925925925926,3.2950819672131146,5.444444444444445,8.01639344262295,0.446,0.411,0.5925925925925926,1.360655737704918,2.037037037037037,4.049180327868853,0.291,0.336,0.6666666666666666,1.0655737704918034,0.9814814814814815,1.3114754098360655,0.679,0.813,0.46296296296296297,0.45901639344262296,1.3888888888888888,1.8524590163934427,1.8518518518518519,2.3114754098360657,2.814814814814815,3.0491803278688523,1.3148148148148149,1.098360655737705,0.12962962962962962,0.16393442622950818,0.7407407407407407,1.3278688524590163,1.3518518518518519,2.0491803278688523,6.111111111111111,9.01639344262295
